Age of company (years),Internet Activity Score,Employee Count,"Team Size Growth (0: No, 1: Yes)",Last Funding Amount ($),Country of company,Continent of company,Investors in Seed,Investors in Angel/VC,Number of Co-founders,Number of Advisors,Senior Leadership Team Size,Total Team Size,"Top Angel/VC in Previous Round (0: No, 1: Yes)",Number of Repeat Investors,Sales Support Material Count,"Worked in Top Companies (0: No, 1: Yes)",Average Past Company Size,"Part of Startups Before (0: No, 1: Yes)","Part of Successful Startups Before (0: No, 1: Yes)","Partner in Big 5 Consulting (0: No, 1: Yes)","Has Consulting Experience (0: No, 1: Yes)","Product or Service Company (0: Product, 1: Service)","Vertical Focus (0: Single, 1: Multiple)","Data Focus (0: Private, 1: Public)","Consumer Data Focus (0: No, 1: Yes)","Data Structure (0: Structured, 1: Unstructured)","Subscription Based (0: No, 1: Yes)","Cloud Based (0: No, 1: Yes)","Market Reach (0: Local, 1: Global)",Random Feature 1,Random Feature 2,Random Feature 3,Random Feature 4,Random Feature 5,Random Feature 6,Random Feature 7,Random Feature 8,Random Feature 9,Random Feature 10,Random Feature 11,Random Feature 12,Random Feature 13,Random Feature 14,Random Feature 15,Random Feature 16,Random Feature 17,Random Feature 18,Random Feature 19,Random Feature 20,Random Feature 21,Random Feature 22,Random Feature 23,Random Feature 24,Random Feature 25,Random Feature 26,Random Feature 27,Random Feature 28,Random Feature 29,Random Feature 30,Random Feature 31,Random Feature 32,Random Feature 33,Random Feature 34,Random Feature 35,Random Feature 36,Random Feature 37,Random Feature 38,Random Feature 39,Random Feature 40,Random Feature 41,Random Feature 42,Random Feature 43,Random Feature 44,Random Feature 45,Random Feature 46,Random Feature 47,Random Feature 48,Random Feature 49,Random Feature 50,Random Feature 51,Random Feature 52,Random Feature 53,Random Feature 54,Random Feature 55,Random Feature 56,Random Feature 57,Random Feature 58,Random Feature 59,Random Feature 60,Random Feature 61,Random Feature 62,Random Feature 63,Random Feature 64,Random Feature 65,Random Feature 66,Random Feature 67,Random Feature 68,Random Feature 69,Random Feature 70,Random Feature 71,Random Feature 72,Random Feature 73,Random Feature 74,Random Feature 75,Random Feature 76,Random Feature 77,Random Feature 78,Random Feature 79,Random Feature 80,Random Feature 81,Random Feature 82,Random Feature 83,Random Feature 84,Random Feature 85,Random Feature 86,Random Feature 87,Random Feature 88,Random Feature 89,Random Feature 90,Random Feature 91,Random Feature 92,Random Feature 93,Random Feature 94,Random Feature 95,Random Feature 96,Random Feature 97,Random Feature 98,Random Feature 99,Random Feature 100,Random Feature 101,Random Feature 102,Random Feature 103,Random Feature 104,Random Feature 105,Random Feature 106,Random Feature 107,Random Feature 108,Random Feature 109,Random Feature 110,Random Feature 111,Random Feature 112,Random Feature 113,Random Feature 114,Random Feature 115,Random Feature 116,Random Feature 117,Random Feature 118,Random Feature 119,Random Feature 120,Customer Retention Rate (%),Monthly Web Traffic,Customer Feedback Score (out of 10),Mobile App Daily Active Users,Annual Marketing Spend ($),Customer Acquisition Cost ($),Average Customer Lifetime (months),Profit Margin (%),Operational Efficiency Score (out of 10),Average Transaction Value ($),Monthly Subscription Renewal Rate (%),Social Media Engagement Rate (%),Email Campaign Success Rate (%),Product Return Rate (%),Helpdesk First Response Time (hours),Inventory Turnover Ratio,Fixed Asset Turnover Ratio,Equity Multiplier,Debt-to-Equity Ratio,Earnings Before Interest and Taxes ($),Net Income ($),Total Assets ($),Total Liabilities ($),Current Ratio,Quick Ratio,Cash Ratio,Gross Profit Margin (%),Operating Profit Margin (%),Return on Assets (%),Return on Equity (%),Return on Investments (%),Asset Turnover Ratio,Inventory to Sales Ratio,Days Sales Outstanding,Days Payable Outstanding,Days Inventory Outstanding,Total Debt Ratio,Long-Term Debt to Capitalization (%),Interest Coverage Ratio,Cash Flow to Debt Ratio,Company Efficiency Ratio,Reinvestment Rate (%),Financial Leverage Multiplier,"Blockchain Technology Adoption (0: No, 1: Yes)","Uses Artificial Intelligence (0: No, 1: Yes)","Augmented Reality Features (0: No, 1: Yes)","Virtual Reality Integration (0: No, 1: Yes)","IoT Capabilities (0: No, 1: Yes)"
2,99,128,1,1662011.8294586595,Germany,North America,6,2,3,1,5,3,1,7,8,0,3,0,1,1,1,0,0,0,0,0,1,1,1,5,10,1,10,9,6,5,2,9,7,1,5,10,1,6,7,7,8,4,10,4,9,4,5,4,8,7,1,3,8,9,7,2,10,7,3,10,8,10,2,1,7,6,9,9,10,7,10,3,6,4,1,7,6,7,6,4,7,2,7,9,1,1,10,4,10,2,2,5,3,5,8,1,6,10,3,4,10,10,7,10,5,5,2,7,5,6,8,6,2,4,7,1,7,7,5,2,10,4,8,7,4,6,6,4,4,10,2,10,9,10,10,7,5,4,2,8,8,2,7,79.72196449610806,657235,7.587613701909788,3146,111047.16887190254,72.52482592430854,17,43.76187668958347,6.342378300375921,102.2231745031257,80.77606979707019,18.7539116016733,22.843042564434082,3.483366836825032,1.877423846262142,5.656166863831744,3.007151200362303,2.820456424276802,1.8493779146218166,99406.0500606849,11146.21319724629,4624464.68461885,1996633.2577064945,2.743725432368665,0.924094232447621,0.6621729625379998,35.42607183064881,13.702578410155347,5.279392689471255,12.682517061649218,24.671339791309183,1.3824044160258806,0.4872640471839762,59,50,72,0.40943592089152653,39.226379708182975,4.167180548728871,0.5691748569381009,75.60311985440747,64.75479856869133,1.4873624056755355,0,0,0,1,0
17,53,317,1,132396.1784646815,Germany,Asia,8,7,2,1,7,10,1,7,6,1,5,1,0,0,0,1,1,0,0,0,1,1,1,7,8,7,3,8,7,10,2,7,8,6,5,10,4,1,2,2,9,10,5,6,1,7,4,6,1,5,10,6,3,8,7,8,7,8,3,4,5,4,7,2,7,5,4,5,10,1,1,6,6,3,8,8,4,3,9,4,5,10,10,7,2,1,9,3,1,3,9,3,4,4,10,8,4,5,3,5,4,7,3,7,2,9,7,7,7,7,2,6,9,7,2,3,2,2,5,5,2,9,2,2,1,10,4,8,3,1,3,1,3,3,1,9,1,8,4,1,1,2,1,87.99784961910204,473337,5.409752656405145,19193,94595.11852782949,43.120182588979304,21,38.40899454998376,8.219054503273938,100.5233299634176,90.99480658528688,7.7188107995419655,15.00471279173537,6.068248798746465,2.431027534787407,7.1192924776090765,2.657294726605267,1.0859062506840516,1.6523150710212122,112830.9677857178,11099.153065734925,6760503.054127437,2666417.3619411876,2.1733584192923345,0.8349889422987962,0.7203688690615546,48.69162127708347,35.552931028366444,14.613669654841743,27.788894983142928,15.214610764262002,1.1341043021789863,0.13902247604353746,87,46,68,0.7873027749097182,33.96091226052191,9.780110885602578,0.9191811546627888,61.864311595508966,78.665186752071,1.2018326800398904,0,1,1,1,0
13,11,404,0,1863584.2276664176,India,Asia,2,6,2,1,1,10,1,8,2,1,9,1,0,1,1,0,0,1,0,1,0,1,1,2,7,9,1,4,10,7,9,6,9,8,7,7,4,1,6,7,5,3,2,3,5,7,3,9,2,10,9,8,9,6,10,8,6,7,1,2,1,7,3,2,8,6,9,8,10,5,1,9,1,2,10,7,1,5,1,6,3,1,9,7,2,8,5,2,6,9,8,1,5,9,2,10,6,7,10,2,1,1,10,9,9,9,9,5,6,5,1,4,5,3,3,6,8,9,9,2,5,5,6,8,1,8,5,2,4,10,6,9,4,7,2,6,9,6,8,8,4,9,1,82.34690502445139,815178,6.8020199408442155,37704,107860.93464933966,55.817997191753285,40,29.14448352340239,6.518509327646897,128.50878090783797,89.96026061528832,17.260458688547057,39.882768991249236,5.760887060372033,1.8140906060455584,7.983144614198736,2.8265218890082755,2.6325259010483197,1.721745508614374,76479.52902670151,11271.146051374439,6261230.34863076,1776578.8876649532,2.863317175455608,1.3981945064664476,0.6411369347714859,24.76697681730526,12.575616153524969,7.724788088585347,14.534451030330493,17.280733105869917,0.6049184136485719,0.40336458504464245,60,51,115,0.7597661686041413,16.08099399704046,4.779802228232346,0.4031883012179763,90.91087402235772,33.814567005937356,1.048940798040237,0,0,1,0,0
5,63,154,1,1148520.1887892634,USA,Europe,8,7,4,1,4,1,1,1,7,1,9,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2,3,1,1,5,8,4,1,4,4,4,5,1,1,2,1,9,2,2,5,7,1,1,8,7,2,2,4,6,4,5,2,10,3,10,2,2,6,5,1,7,6,7,2,8,2,6,3,1,5,1,2,7,7,10,7,3,7,10,1,10,3,6,9,7,2,4,2,6,5,2,1,4,4,4,10,7,7,7,4,6,10,8,7,5,7,10,1,4,9,10,2,8,2,3,7,1,3,3,4,3,9,7,4,4,3,8,6,3,7,2,6,3,6,7,3,1,5,87.1123408145281,512187,5.3033302951748285,59913,107059.91286409998,43.677864214352006,36,10.135318688080712,7.977777782993256,79.28572878400516,58.9176995484013,3.9855070549397342,16.91586585252177,2.476931711600195,1.2168729420399291,6.697758355786315,2.053915040328186,1.3508576325563977,1.1009773268902117,100921.79274002422,9286.93062224445,6859126.856604403,2501951.751555005,1.6368612764312036,1.183166487364335,0.7695842087742266,37.635173429703016,39.14179547161954,3.455650895771221,17.48425125306475,19.367242271102096,1.1558222942546925,0.394680963914254,35,39,87,0.6853964064680267,36.30007633919601,7.266745869323741,0.8614483760476033,88.27084901336634,43.038190236673884,1.2247998436574663,0,0,0,1,0
11,13,155,0,920821.8614501745,Germany,North America,5,4,1,2,2,5,0,6,7,1,9,1,1,1,0,1,0,1,1,1,0,0,0,9,1,2,4,2,3,9,7,8,1,7,7,2,4,5,4,3,5,2,8,10,4,6,7,10,10,10,7,3,8,10,3,7,2,7,7,4,2,10,1,9,9,8,8,3,10,5,4,9,3,2,3,10,3,9,6,4,6,3,4,3,4,10,8,4,7,5,6,5,7,7,2,8,6,6,1,3,4,6,7,1,4,8,10,5,1,7,3,1,6,7,4,5,1,3,2,2,2,4,6,9,4,5,4,3,4,8,1,3,10,2,7,3,1,2,9,2,10,9,10,54.53332409943031,65948,6.683914499676057,44990,107780.18417106976,47.872937893974076,26,44.949171165578804,6.559538823204291,82.97030766737979,94.9041684908178,12.680868138840184,19.163372885403952,9.701231981515136,1.9261604111559614,10.861290585602822,5.533563547013887,1.8386812823551004,1.9793365617986367,93887.60504623341,9576.7997556466,5146022.877133537,2122816.3692136845,2.4286938081439686,0.9010195599435967,0.5872092671660265,28.945408377936218,20.811168862967097,13.531504985510596,29.336784058258228,6.1838505792183245,1.5890244203737318,0.3006266004357195,38,58,49,0.6533280900504184,22.515058276795784,4.316778826208503,0.5129440028770131,89.02252390529733,31.245711532398165,2.4373773732377293,0,1,1,1,1
14,80,496,0,1615920.3925889768,UK,Europe,1,2,4,9,1,7,0,1,9,0,1,0,1,1,0,1,0,1,1,0,0,0,0,9,10,1,5,9,8,1,6,9,7,10,2,3,4,9,4,10,4,6,7,10,5,6,7,1,2,4,9,7,3,10,2,7,6,5,2,7,5,10,7,3,4,8,8,5,9,3,1,1,3,3,2,9,9,6,8,6,9,9,7,6,8,1,8,7,4,8,10,1,7,3,6,6,4,1,10,3,3,7,9,6,10,7,10,1,9,4,3,5,3,1,10,6,6,9,8,6,1,10,1,8,5,5,5,4,8,4,5,2,1,6,10,8,7,2,6,8,6,2,6,75.08162713779035,677785,6.599651580459529,96421,108914.11910202942,47.36366870900667,25,21.768998587027927,6.005119707028998,102.05542817885532,50.903844602423064,16.68800409289333,31.35908597673455,6.182537150666871,1.3257121981673408,6.309984201097932,2.754079350994089,2.3402259270366974,0.8130686748881504,73060.49679352259,10269.08614128144,5601419.6442122115,2094010.083732676,2.8526319331840497,1.4121418060931705,0.31215579580995995,34.73029833376221,18.08654339212111,18.092990872042886,29.47051353227293,19.5642142693861,0.5295934159700191,0.25769682679161343,78,55,113,0.7770725678528773,11.061910528604804,2.484821781860231,0.4465906674763613,64.3875625086968,44.34576184833959,1.7181284068533524,1,1,0,1,1
19,60,98,1,1521888.5972243785,USA,North America,6,6,1,3,1,5,1,7,8,1,2,1,0,1,0,0,1,1,0,1,0,0,0,10,8,5,10,4,5,2,6,6,2,1,5,3,2,3,6,5,9,1,2,4,8,5,1,7,7,4,3,6,6,8,7,3,10,6,3,5,6,4,4,7,1,8,10,5,4,1,1,8,2,10,6,2,8,10,2,2,10,6,6,7,6,9,7,1,7,9,10,6,7,2,10,5,6,6,6,2,7,9,5,5,8,6,9,10,10,3,10,9,7,2,1,8,4,7,1,6,3,6,6,7,1,6,1,10,1,9,10,2,7,8,7,1,3,5,3,4,8,2,8,95.6063017699606,200384,8.294424111824794,9230,103706.63713869297,54.10315982304413,20,43.7782605817289,5.199908674587186,86.24150275862921,62.167726304760066,5.91523462151888,32.29236597015176,6.62382802014079,2.0242509726493965,5.204017225007276,4.7684356692911445,2.6762276943057577,1.5140200084054398,87553.92925810124,10570.673682273326,5374014.707946262,1829252.5856981918,1.8032703990966046,1.3362449779390964,0.2801801301649346,34.88344844299046,14.271623233278321,18.696044687442154,29.541342019026967,18.654155566971106,1.255238500196427,0.12865865322871373,57,45,101,0.4689550605709033,36.331520136788356,9.968326363853311,0.6149838354799315,78.63494758839788,35.87886595923385,1.3606319491456311,0,1,0,0,0
16,73,95,0,849745.9499263889,UK,North America,4,5,2,4,10,6,1,2,7,0,6,0,0,0,0,1,1,1,1,0,1,0,0,4,3,2,1,8,5,10,2,5,8,6,5,3,6,9,6,5,10,10,10,9,1,5,6,7,8,4,10,8,6,1,5,8,7,3,10,8,4,10,5,6,1,5,4,8,7,7,9,7,4,8,1,1,2,3,3,1,5,8,9,7,1,4,4,6,4,7,9,3,3,10,9,9,1,5,6,5,7,6,9,1,9,1,6,2,5,2,2,4,7,4,10,6,6,1,9,5,9,5,7,7,7,1,4,5,5,4,2,2,2,7,5,9,7,9,1,3,2,8,7,92.55242097621354,725701,6.647872635295801,27479,76400.15498259124,41.8566950222948,35,28.839868650184805,5.988753939711014,62.715883723549965,92.54223226362768,8.536600958655226,33.34971632974246,6.874510887343643,2.1126543131100557,8.001704731610037,2.156966688458072,2.894671615568538,0.9633329564613129,113440.76837335163,6811.300124650317,5396556.098847016,2055184.160020468,2.775259373189297,0.8708302230109219,0.41872437199751916,49.10093713102201,16.5200099722267,4.002448601614653,23.458900886209307,18.294836091968683,1.0387680582309187,0.12871391753371358,55,33,98,0.46916578223357075,13.92756776189349,3.3021931327283047,0.6174458289684674,80.38060909922925,36.33589943469839,1.3487542669500179,1,1,0,1,0
9,93,415,0,615974.1819833785,UK,North America,2,5,4,2,1,9,0,6,1,1,6,0,1,1,0,0,1,1,1,0,1,1,1,1,9,2,6,10,3,2,7,2,5,4,3,3,1,4,3,2,8,4,1,4,9,5,2,5,4,3,3,10,1,9,1,5,2,3,3,6,8,9,10,1,1,9,9,10,3,4,3,8,5,3,1,9,8,5,1,4,9,5,10,2,6,8,5,7,4,2,8,9,3,7,8,2,9,4,3,4,8,8,9,4,10,5,3,3,9,3,5,2,7,3,8,9,4,4,1,8,9,1,1,9,6,10,10,10,5,6,4,4,1,3,8,4,5,9,6,8,9,4,8,53.83673088622245,625405,5.696294871418082,51683,133141.10203764675,38.04530965134556,20,47.59069726972497,5.951357207149284,80.21350470953755,73.84069219216082,11.11424052660389,23.844807990433633,5.127090441240185,1.6829573747485675,11.951714234201352,4.942804273848859,1.568415588386674,1.7358868236273857,136490.63493181817,7403.615636440829,5567964.075099648,2994626.1717116605,2.592182064793099,1.151523733688884,0.24223823578684567,30.600662133611824,35.886265259046326,2.6848728471771404,23.22720100086841,5.9474461400133505,0.6308760102474733,0.25560794778834306,70,55,44,0.6779956515373688,16.79599237811148,9.686572502027474,0.3667202492812163,63.35323501543244,40.650739052927115,1.505636718180246,0,0,1,0,1
6,23,114,0,973417.9520870746,USA,Europe,2,9,1,4,9,3,0,8,4,1,3,1,0,1,1,0,0,0,0,0,1,1,0,3,8,5,3,4,10,5,3,10,8,2,9,6,7,7,9,1,10,3,3,1,5,6,9,2,7,8,6,2,4,7,9,5,2,10,8,3,10,3,7,3,7,6,6,9,4,2,9,1,1,6,2,10,2,3,9,7,8,8,5,9,3,7,7,1,5,3,9,2,1,5,3,1,6,6,6,6,1,4,7,1,1,2,9,7,3,3,2,3,9,1,5,1,7,10,3,3,4,1,10,9,9,7,1,9,9,9,6,8,1,8,7,8,8,4,3,9,4,2,2,60.307855692325404,269546,8.701542898290255,25829,125578.20744133308,43.275660964215966,33,20.359159695447012,8.612805983283629,117.95802659962678,84.68178974897839,8.182641614425478,17.444946234815635,9.681078525180116,1.1209922584206071,4.362901881941463,5.769494776572001,1.9036825359377194,1.3468936005853596,89745.52847249404,13970.84377794002,6335680.360037465,1731843.0470444453,2.6881376498544443,1.243628068663813,0.4606813221663231,24.688003853149265,18.014403190169478,8.586645517322527,22.249872216863793,13.815708688396045,1.5336366846968978,0.432705291930079,73,55,68,0.3745725390777422,12.798184115487967,9.481739814591188,0.4810715582735532,78.30230848076722,62.04248555976092,2.8408971783519847,0,0,0,0,1
7,14,64,0,1126052.7360152237,Germany,North America,1,4,3,9,7,7,0,8,9,1,8,0,1,0,1,0,0,0,1,0,1,1,1,2,2,7,7,6,8,4,8,6,8,2,8,5,2,9,1,9,7,2,1,4,4,3,10,2,7,6,7,5,10,4,7,9,8,3,3,3,7,1,6,8,7,1,9,3,5,9,9,6,5,4,9,10,9,2,3,9,3,2,2,2,6,6,7,2,4,5,1,3,6,9,5,6,8,8,3,1,1,2,7,9,7,9,2,10,1,6,9,3,7,2,3,10,6,5,2,5,4,6,9,3,8,5,3,2,7,1,1,5,10,1,5,7,10,2,8,10,2,6,7,83.10556573704561,816641,7.8830139838249496,88171,125695.1341361494,41.75688471789232,24,16.43873329684146,7.257082007693789,98.60813966170612,92.30280721788196,14.956110668403872,17.370874387864447,5.059996690066656,1.8307009557051777,6.200278428233122,4.373555751173933,2.8413266953660856,1.2358742455983485,87164.66963235848,11882.755811238729,3249326.8184104683,1189016.1184754656,2.7014643191179486,0.5278184349720371,0.5855783926011766,36.49781425277277,17.994771128799066,5.702015137503345,7.436925937964309,12.72691696813078,0.5988467675353433,0.49132441996820275,74,52,115,0.6793783008664642,16.24838921329264,3.6547712786765283,0.2374852148116875,75.96556074937841,67.42773041959308,2.6254217543676277,1,1,1,0,0
14,39,218,0,1330119.4071134515,China,Europe,4,4,4,1,4,2,0,7,6,0,2,1,1,1,1,1,1,1,0,0,0,1,1,4,4,9,3,9,4,1,2,2,4,9,4,1,6,10,4,4,4,10,2,7,9,6,9,9,7,10,4,6,6,10,6,8,9,6,10,2,1,5,4,5,7,4,3,6,3,3,2,4,5,9,5,3,1,5,3,3,7,8,4,6,8,1,5,8,1,2,7,5,1,9,2,8,2,8,9,1,7,2,6,5,1,8,4,9,7,8,5,6,1,7,8,1,2,10,9,7,7,2,5,3,5,8,4,10,2,8,10,8,9,10,10,4,5,8,3,2,5,5,10,58.04436696138257,394441,9.655410666889763,86579,70850.24482455195,31.83473523472057,6,37.64168043703222,9.777786627669649,112.31771030217972,94.79667200651927,3.388951559061824,18.07139808086347,1.412138011714306,2.4123954765611915,5.773729312513552,5.584201122981256,1.6392469329697,0.661459543820929,100118.74026403477,9149.995011025914,4216574.278165821,1875831.0719816512,1.9429174591361877,0.6809903656988894,0.6161341438672245,48.24319691894662,36.79897929832448,13.752989264826397,29.73842059233771,5.615976924912982,1.383792165255545,0.14976169077436416,44,39,74,0.7080907503437054,27.19723127321402,2.4389040568253044,0.2792905596446434,65.46400106747765,61.60098128927159,1.1425709407756626,1,1,0,0,1
11,15,480,1,734138.806627952,India,North America,3,4,3,3,2,3,1,5,1,1,5,0,0,1,1,0,0,1,1,0,0,1,1,10,8,9,2,5,2,2,8,1,7,5,9,4,6,3,7,9,6,8,5,3,8,10,5,7,9,8,8,10,9,5,6,6,8,7,7,2,7,9,3,9,1,7,3,10,5,1,6,7,1,8,5,5,3,8,9,4,1,10,6,8,4,5,10,10,9,3,4,8,8,7,3,3,3,3,3,10,2,2,2,9,4,10,9,7,5,8,3,8,7,10,7,5,2,6,3,4,4,8,9,4,8,1,5,4,5,9,9,3,1,10,1,9,4,7,3,1,3,6,5,56.564016924648,43693,7.558426882161271,36744,99001.39999791021,40.05143511455893,30,29.08176367036415,7.898756631188559,74.1009395737423,83.06295303026175,16.24337251154025,36.905842735076064,5.915484236120015,0.9115342466946142,8.20148091566157,3.4529799793558804,1.6884657491069803,0.8758319435745031,110846.19215601245,11646.389798223536,6435030.068888212,2101607.5630674306,2.805381102095237,1.1222614630751317,0.6162121236680582,35.012297734866166,10.744756099852253,15.490477181235866,13.97035876969946,15.634658853895926,1.6618395072009555,0.252768292757264,81,39,103,0.596848687475644,38.99658921146167,5.746296369498398,0.429053129585373,73.82807717778044,62.79764052268902,1.9384832739887685,1,0,1,0,1
1,7,422,0,1061770.4067030165,USA,Europe,8,4,4,9,3,4,0,4,7,1,5,1,1,0,1,0,1,1,1,1,0,1,0,2,5,8,6,1,5,5,5,9,7,5,8,3,6,6,7,10,1,9,7,6,7,3,10,4,3,10,5,7,5,2,6,5,3,9,3,10,1,3,9,6,9,6,5,4,7,9,7,1,8,6,6,6,3,6,8,7,5,7,6,9,5,1,3,5,8,1,6,4,10,3,6,3,5,6,4,8,9,2,8,9,9,3,5,3,5,7,5,2,4,7,9,10,10,8,3,2,4,7,1,6,5,2,9,1,4,8,6,4,5,10,9,9,8,7,4,10,1,10,2,60.61832418384524,519237,5.112612682121587,20362,120878.77771734934,57.19190646675529,42,37.69257421153549,6.367085032547097,97.38977952659488,57.7030361980209,4.10596642119514,13.447144163430472,6.482595783684784,2.8467282637930116,5.418321843055828,5.0533519873639925,1.1747404604274108,0.8439172710455621,114101.12665488987,12314.03576041059,5429271.354550674,2641879.2149135848,1.5725127658633666,1.4779671067253854,0.30303549853099077,44.93036612503232,24.095245434193842,10.825813903436732,10.71336931727417,22.210396311382286,0.6266692219128638,0.3817498871806727,39,35,105,0.6839302739274862,23.712144377825908,3.7838225040090476,0.6824261846050819,61.346073628834034,74.63007631126243,2.019166676725151,1,1,1,0,1
3,92,259,0,-504193.1544998372,China,Asia,5,7,3,1,2,7,1,10,7,1,10,0,1,1,1,0,1,1,0,1,1,1,1,8,4,4,10,3,9,1,1,10,4,9,9,10,10,1,1,5,1,1,2,4,5,1,1,9,8,10,10,1,7,3,3,6,10,3,7,10,6,1,6,4,1,3,3,3,6,10,3,4,7,1,7,5,1,7,6,5,7,3,5,10,1,4,2,2,10,1,5,6,5,4,8,8,1,5,4,4,2,10,7,3,6,3,3,8,4,7,3,8,10,2,9,2,5,5,8,10,1,3,1,8,7,7,1,1,8,8,1,5,4,3,8,6,9,1,8,8,8,2,8,80.19327040778671,600899,7.592420435180909,69161,123262.54044793683,39.933755635030344,9,12.462526969922202,8.838683190011933,88.17703338168042,64.48384372130845,6.802103662387742,13.924335013239343,7.106545882230292,1.379413884146858,7.460096308526645,5.97096156423307,1.0098425826909887,1.2976591259076664,121594.87181577536,7378.425637743998,5662972.202343239,2212916.059069132,2.8373308855735515,1.3255046208319734,0.574823879687066,31.75173323842423,28.240586391708792,17.58373723732237,8.520115272184999,5.568779372289352,0.9040612169674882,0.44270446141864206,66,54,112,0.7279167170331879,14.970539870500094,8.29958497203252,0.4528643229338838,68.62825473148523,32.112710505997114,1.9911121806493266,1,0,0,1,0
14,55,489,0,1382559.4106477133,China,Asia,3,8,4,10,8,6,1,5,4,1,2,0,1,1,0,1,1,0,1,0,0,0,1,3,1,5,1,7,1,6,2,8,2,1,9,5,4,7,4,2,5,10,4,6,3,2,9,3,5,2,4,5,1,5,10,5,7,4,7,7,6,9,5,1,10,5,10,3,3,8,5,6,6,4,10,3,1,7,4,10,4,7,9,3,8,3,5,8,4,9,9,7,8,3,8,9,6,6,10,7,5,1,9,7,5,5,1,9,8,2,2,7,9,7,1,1,1,4,7,10,7,8,10,7,7,7,6,7,8,2,8,6,2,10,10,9,8,3,1,2,7,4,1,80.89270214583905,135902,5.027513211014443,85756,91606.62753739199,53.95367693436003,8,11.132130652553073,8.131355031374094,143.46406538382675,58.31251043078146,11.81710052339378,20.15898282523306,1.3403889029906932,2.973933859739107,10.182191195948548,2.082154671082248,2.2715240006770028,1.4858873203180525,103699.43985175165,10898.515006570844,4609540.800398039,1757207.4029514731,1.1665860216830122,0.5446237725944105,0.6771614945118577,53.631143766297804,18.817704126309103,9.753106689757617,5.956182815586281,22.9411927490371,0.9411237435566613,0.22907848469074713,66,24,116,0.383413559239058,22.225624900941984,7.617424767015388,0.3610604203346586,83.13158414297015,64.23888697653496,2.578872664616767,0,1,0,0,1
17,72,481,1,905620.8824895408,China,North America,7,6,2,1,3,8,1,10,7,1,10,1,0,1,0,0,1,1,1,0,1,0,0,7,10,8,3,10,4,4,5,5,10,1,6,3,7,1,6,9,3,6,5,10,3,9,10,6,8,6,5,9,4,10,3,7,5,3,5,9,5,4,7,2,5,2,3,8,5,6,6,3,4,1,5,8,8,6,10,3,8,6,9,8,6,1,10,10,4,4,7,2,7,1,3,8,10,4,1,8,7,8,2,10,3,5,6,1,4,10,5,2,1,5,6,5,9,8,3,1,10,8,5,1,10,9,4,5,7,1,9,5,1,1,2,2,2,10,9,10,2,1,9,64.85306004105385,648968,8.210332570181006,38566,95095.21057456963,52.325897270502544,48,38.955612009907114,9.22916143751469,86.20293836147803,58.81211595888593,15.541945030364914,13.509892335591456,1.787999001508587,2.409292004302748,9.366184829625036,5.971714778287032,1.407935577051096,0.9557876300934569,107704.2202054193,7488.071868253956,5577265.989318759,1716791.2676298746,1.2407583172191992,0.6244953913964995,0.6948815597842536,59.45471386233498,33.07122294779111,6.418195693074761,10.62644979522791,10.395413481350143,0.6821233732533503,0.14539807182351494,58,43,116,0.6690728407887945,33.68635058893727,7.3440333235206765,0.6384687985947319,93.65723590184407,56.672515954183396,1.8807859371622402,1,1,0,0,0
12,69,340,1,1123963.071875459,India,Europe,6,9,3,4,7,2,0,9,8,0,4,0,0,1,0,1,1,0,0,0,0,1,1,3,5,2,5,4,10,6,6,4,4,10,3,4,6,4,3,9,7,3,2,7,6,10,7,7,2,5,6,3,5,5,2,4,1,2,5,7,5,3,9,6,10,7,10,7,4,5,5,7,1,7,3,1,8,1,8,9,10,4,6,5,5,3,3,8,9,5,2,8,8,8,8,6,10,8,3,9,10,3,8,4,7,7,6,2,4,9,7,5,7,9,6,4,9,5,4,1,9,9,5,3,6,9,2,10,8,6,1,8,5,2,3,3,5,8,8,6,9,5,1,83.27242935181903,958228,5.94220355243243,46256,106828.49380728618,40.03572241311054,34,15.794192940278947,6.285316102801248,108.94189903909734,90.35976373551371,2.7535665244687877,10.673653762823292,9.040231878997984,2.588476224167408,11.352230501379871,3.295680773999726,2.7121724263030886,0.957068234514419,85671.6907073502,12051.523866101887,5513298.027664204,1922842.8304423944,1.982236892065819,0.9260912449352162,0.41697015426815853,30.421946857863613,17.402196497292184,4.167935055599902,18.2321227040454,21.554243431503345,1.0119822136008385,0.22834806364430707,30,53,54,0.30775900298120806,21.312620980373637,8.47630239973105,0.3804272414345416,79.21261476687067,66.37486842471975,1.7872096462388305,1,0,0,0,1
